Series,Contestant,PPT,Prize,Subjective,Objective,Fastest,Live,Team,Highest,Lowest,Age,Gender,GregHarshnessRating,Seat,Height,Handedness,Children,Winner,Place,ChineseYear,FacialHair,HairColour,Books,Helped,RefusedHelp,Headwear,ComedyAward,Diet,OutfitColor,Language,SecondLanguage,Siblings,BirthOrder
6,Alice Levine,2.71,2.4,2.59,2.82,1.5,2.7,3.33,23,6,51,F,0.99,1,170.2,R,0,N,5,Tiger,N,Red,1,1,0,N,N,Meat,Green,No,,1,Oldest
7,Kerry Godliman,3.26,3.3,2.98,3.53,2.86,3.6,3.33,23,14,33,F,0.98,3,160,R,2,Y,1,Ox,N,Blonde,0,0,0,N,N,Veggie,Orange,No,,NA,NA
7,Jessica Knappett,3.24,2.6,3.13,3.35,2.29,3.2,3.33,25,11,33,F,0.98,2,181,R,1,N,2,Rat,N,Brown,0,0,0,Y,N,Meat,Red,No,,1,Youngest
7,Rhod Gilbert,3.09,2.8,3.02,3.16,2.43,3.1,1.83,22,9,44,M,0.98,5,183,R,0,N,3,Monkey,Stubble beard,Brown,0,1,0,N,Nom,Vegan,Black,No,,2,Youngest
7,James Acaster,3.06,2.3,2.9,3.19,3.86,2.6,2,20,11,28,M,0.98,1,185,R,0,N,4,Rat,N,Blonde,3,1,0,N,Nom,Meat,Green,No,,2,NA
7,Phil Wang,2.46,3,2.71,2.25,1.86,2.2,1.83,19,9,49,M,0.98,4,185,R,0,N,5,Snake,N,Black,1,1,0,N,Nom,Meat,Yellow,Yes,Malay/Mandarin,2,NA
8,Lou Sanders,3.09,3,3.07,3.11,2.78,3,2.29,21,12,31,F,0.97,3,172.7,R,0,Y,1,Horse,N,Brown,1,1,1,N,N,Vegan,Pink,No,,1,Oldest
8,Iain Stirling,2.94,3.1,3.24,2.72,3.78,1.7,2.29,21,10,35,M,0.97,1,188,R,0,N,2,Rabbit,Moustache,Blonde,1,1,0,N,N,Meat,Black,No,,1,NA
8,Joe Thomas,2.83,2.8,2.89,2.79,1.78,1.8,3.29,24,7,33,M,0.97,2,175,R,0,N,3,Pig,N,Blonde,0,0,0,N,N,Meat,Green,No,,3,Oldest
8,Sian Gibson,2.7,3.2,3.02,2.46,2.67,1.4,3.29,17,8,48,F,0.97,5,154,R,1,N,4,Dragon,N,Red,0,0,0,N,N,Meat,Black,No,,NA,NA
8,Paul Sinha,2.57,3.3,3.07,2.2,1.44,2.2,2.43,21,10,42,M,0.97,4,172.7,R,0,N,5,Dog,N,Black,1,0,0,N,Nom,Meat,Blue,No,,NA,NA
9,Ed Gamble,3.34,3.2,3.16,3.56,4.17,2.4,3.17,20,12,55,M,0.89,2,185,R,0,Y,1,Tiger,N,Brown,0,1,1,N,N,Meat,Blue,No,,1,Oldest?
9,Rose Matafeo,3.18,2.4,3.27,3.07,2.33,3.4,3.5,20,11,33,F,0.89,5,178,R,0,N,2,Monkey,N,Brown,0,0,0,N,Y,Meat,Brown,No,,2,Youngest
9,Katy Wix,3.16,3.4,3.49,2.76,1.67,3.1,3.5,24,9,62,F,0.89,4,172,R,0,N,3,Monkey,N,Brown,2,2,0,Y,N,Meat,Yellow,No,,1,Youngest
9,Jo Brand,3.08,3.2,3.38,2.71,2,3.6,3.33,22,10,39,F,0.89,3,162,R,2,N,4,Rooster,N,Red,6,1,0,Y,Nom,Meat,Black,No,,2,Middle
9,David Baddiel,2.56,3.6,3.05,1.96,1.5,2.2,3,19,10,27,M,0.89,1,172,R,2,N,5,Dragon,Beard,Grey,14,8,0,N,N,Meat,Grey,No,,2,Middle
10,Richard Herring,3.18,3.2,3.25,3.13,3.09,3.9,3.25,26,9,34,M,0.97,5,169,R,2,Y,1,Goat,Moustache,Grey,8,0,0,N,N,Meat,Black,No,,2,Youngest
10,Daisy May Cooper,3.1,2.5,2.7,3.35,2.18,3.6,3,24,7,50,F,0.97,1,175,R,2,N,2,Tiger,N,Blonde,1,1,0,Y,N,Meat,Gold,No,,1,Oldest
10,Mawaan Rizwan,2.96,3.9,3.45,2.65,2.27,3,2.63,22,8,42,M,0.97,4,175.26,R,0,N,3,Monkey,Beard,Black,0,0,1,Y,N,Meat,Orange,Yes,Urdu/Punjabi,1,Oldest
10,Johnny Vegas,2.73,2.6,3.2,2.42,1.64,2.8,2.5,19,9,28,M,0.97,2,170,R,2,N,4,Dog,Stubble beard,Brown,1,0,0,Y,Nom,Meat,Grey,No,,3,Youngest
10,Katherine Parkinson,2.31,3,2.75,2.03,2,2.2,2.38,20,6,53,F,0.97,3,168,R,2,N,5,Horse,N,Red,0,2,0,N,N,Meat,Brown,Yes,Italian,1,NA
11,Sarah Kendall,3.16,3,3.22,3.11,3.73,3.4,2.38,23,12,31,F,0.96,5,172.5,R,2,Y,1,Dragon,N,Red,0,0,0,N,Nom,Meat,Blue,No,,1,Oldest?
11,Mike Wozniak,3.08,3.5,3.39,2.81,2.27,2.9,3.75,21,6,29,M,0.96,4,185,R,2,N,2,Goat,Moustache,Brown,0,0,0,N,Nom,Meat,Black,No,,1,Twin
11,Lee Mack,3.02,3.1,3.17,2.89,2.73,3.3,3.75,22,7,52,M,0.96,3,183,R,3,N,3,Monkey,Beard,Brown,1,1,0,Y,Nom,Vegan,White,No,,1,Youngest
11,Jamali Maddix,2.74,3.1,2.91,2.59,2.27,2.4,2.38,21,7,41,M,0.96,2,185,L,0,N,4,Goat,Beard,Black,0,2,2,Y,N,Meat,Black,No,,NA,NA
11,Charlotte Ritchie,2.5,2.9,2.78,2.26,2.18,2.2,2.38,20,5,44,F,0.96,1,167.6,R,0,N,5,Snake,N,Brown,0,1,0,N,N,Meat,Blue,No,,2,Youngest
12,Morgana Robinson,3.36,2.1,3.22,3.46,3.38,3.7,3.86,19,13,55,F,0.87,4,175,R,0,Y,1,Dog,N,Blonde,0,3,0,N,N,Vegan,Dark blue,No,,4,Youngest
12,Guz Khan,3.34,3.2,3.76,3.05,2.69,4.2,3.57,22,8,42,M,0.87,3,180.3,R,4,N,2,Ox,Beard,Black,0,0,1,Y,N,Meat,Black,Yes,Urdu/Punjabi,2,Youngest
12,Alan Davies,3.22,3.8,3.76,2.85,2.77,2.5,2.86,21,11,35,M,0.87,1,180,R,3,N,3,Horse,N,Grey,4,0,0,N,Nom,Pescetarian,Black,No,,2,Middle
12,Desiree Burch,3.22,3.9,3.66,2.92,3.54,3,3.57,21,8,39,F,0.87,2,170,R,0,N,3,Horse,N,Black,0,2,0,N,N,Meat,Purple,No,,NA,NA
12,Victoria Coren Mitchell,2.42,2.1,2.59,2.31,2.38,2.2,2.86,18,8,49,F,0.87,5,160,R,1,N,5,Rat,N,Blonde,5,1,0,N,N,Meat,Red,No,,1,Youngest
13,Sophie Duker,3.46,3.1,3.35,3.54,3.5,3.5,4.33,28,13,56,F,0.87,5,167,R,0,Y,1,Snake,N,Black,0,,,N,Nom,Meat,Yellow,Yes,French,NA,NA
13,Chris Ramsey,3.4,2.7,3.35,3.44,3.25,2.8,3.67,23,11,50,M,0.87,3,178,R,2,N,2,Tiger,Stubble beard,Brown,1,,,N,Nom,Meat,Blue,No,,NA,NA
13,Bridget Christie,3.14,3.6,3.72,2.7,3.25,3.3,4.33,25,7,35,F,0.87,2,169,R,2,N,3,Pig,N,Brown,1,,,Y,Y,Meat,Black,No,,8,Youngest
13,Ardal O'Hanlon,3.06,3.8,3.44,2.77,2.25,2.8,3.67,21,10,41,M,0.87,1,175,R,3,N,4,Snake,N,Red,2,,,N,N,Meat,Black,No,,5,Third Oldest
